Car Name,Car Prices (In rupee),kms Driven,Fuel Type,Transmission,Ownership,Manufacture,Engine,Seats
Jeep Compass 2.0 Longitude Option BSIV,10.03 Lakh,"86,226 kms",Diesel,Manual,1st Owner,2017,1956 cc,5 Seats
Renault Duster RXZ Turbo CVT,12.83 Lakh,"13,248 kms",Petrol,Automatic,1st Owner,2021,1330 cc,5 Seats
Toyota Camry 2.5 G,16.40 Lakh,"60,343 kms",Petrol,Automatic,1st Owner,2016,2494 cc,5 Seats
Honda Jazz VX CVT,7.77 Lakh,"26,696 kms",Petrol,Automatic,1st Owner,2018,1199 cc,5 Seats
Volkswagen Polo 1.2 MPI Highline,5.15 Lakh,"69,414 kms",Petrol,Manual,1st Owner,2016,1199 cc,5 Seats
Volkswagen Vento 1.2 TSI Highline AT,7.66 Lakh,"49,719 kms",Petrol,Automatic,1st Owner,2017,1197 cc,5 Seats
Volkswagen Vento 1.2 TSI Highline Plus AT,7.58 Lakh,"43,688 kms",Petrol,Automatic,1st Owner,2017,1197 cc,5 Seats
Honda WR-V VX Diesel,11.60 Lakh,"14,470 kms",Diesel,Manual,1st Owner,2021,1498 cc,5 Seats
Honda City i VTEC CVT SV,6.99 Lakh,"21,429 kms",Petrol,Automatic,1st Owner,2015,1497 cc,5 Seats
Renault Duster Petrol RXS CVT,7.53 Lakh,"31,750 kms",Petrol,Automatic,1st Owner,2017,1498 cc,5 Seats
Maruti Baleno 1.2 Alpha,6.43 Lakh,"38,203 kms",Petrol,Manual,1st Owner,2017,1197 cc,5 Seats
Honda City i VTEC CVT SV,5.43 Lakh,"1,10,284 kms",Petrol,Automatic,1st Owner,2014,1497 cc,5 Seats
Mahindra XUV300 W6,8.62 Lakh,"10,381 kms",Petrol,Manual,1st Owner,2020,1197 cc,5 Seats
Jeep Compass 1.4 Limited Plus BSIV,16.78 Lakh,"32,378 kms",Petrol,Automatic,1st Owner,2019,1368 cc,5 Seats
Honda City V MT,10.03 Lakh,"38,906 kms",Petrol,Manual,1st Owner,2020,1498 cc,5 Seats
Hyundai Grand i10 AT Asta,5.63 Lakh,"59,313 kms",Petrol,Automatic,2nd Owner,2016,1197 cc,5 Seats
Hyundai i20 1.4 Asta,6.67 Lakh,"85,672 kms",Diesel,Manual,1st Owner,2017,1396 cc,5 Seats
Maruti Ciaz 1.4 Delta,6.73 Lakh,"34,971 kms",Petrol,Manual,2nd Owner,2017,1373 cc,5 Seats
Nissan Micra XL Optional,3.21 Lakh,"35,894 kms",Petrol,Manual,2nd Owner,2015,1198 cc,5 Seats
Maruti Ciaz Alpha Automatic BSIV,8.50 Lakh,"56,000 kms",Petrol,Automatic,1st Owner,2019,1462 cc,5 Seats
Maruti Swift Dzire VXI,4.34 Lakh,"56,568 kms",Petrol,Manual,1st Owner,2014,1197 cc,5 Seats
Renault KWID RXT,3.11 Lakh,"48,872 kms",Petrol,Manual,1st Owner,2017,799 cc,5 Seats
Renault KWID RXL BSIV,3.70 Lakh,"17,346 kms",Petrol,Manual,1st Owner,2019,799 cc,5 Seats
Jeep Compass 2.0 Limited Plus BSIV,15.88 Lakh,"15,414 kms",Diesel,Manual,1st Owner,2019,1956 cc,5 Seats
Hyundai Grand i10 1.2 Kappa Magna BSIV,5.41 Lakh,"21,239 kms",Petrol,Manual,1st Owner,2018,1197 cc,5 Seats
Maruti Alto K10 LXI,2.23 Lakh,"62,361 kms",Petrol,Manual,1st Owner,2014,998 cc,5 Seats
Hyundai Verna 1.6 VTVT S Option,5.88 Lakh,"79,329 kms",Petrol,Manual,2nd Owner,2015,1591 cc,5 Seats
Hyundai Tucson GLS AT,22.78 Lakh,"11,945 kms",Petrol,Automatic,1st Owner,2021,1999 cc,5 Seats
Maruti Swift Dzire VXI 1.2,6.12 Lakh,"51,324 kms",Petrol,Manual,1st Owner,2018,1197 cc,5 Seats
Nissan Magnite XV Premium,7.44 Lakh,"5,717 kms",Petrol,Manual,1st Owner,2021,999 cc,5 Seats
Honda City i VTEC CVT VX,8.39 Lakh,"46,417 kms",Petrol,Automatic,1st Owner,2016,1497 cc,5 Seats
Honda Amaze S i-Vtech,4.20 Lakh,"1,00,161 kms",Petrol,Manual,1st Owner,2015,1198 cc,5 Seats
Hyundai Grand i10 Sportz,4.91 Lakh,"35,424 kms",Petrol,Manual,1st Owner,2016,1197 cc,5 Seats
Hyundai EON Era Plus,2.93 Lakh,"51,085 kms",Petrol,Manual,1st Owner,2017,814 cc,5 Seats
Maruti Alto 800 LXI,2.98 Lakh,"30,983 kms",Petrol,Manual,1st Owner,2016,796 cc,5 Seats
Renault KWID RXL,2.60 Lakh,"32,681 kms",Petrol,Manual,1st Owner,2016,799 cc,5 Seats
Hyundai EON Magna Plus,2.38 Lakh,"57,581 kms",Petrol,Manual,2nd Owner,2014,814 cc,5 Seats
Honda Jazz 1.2 V AT i VTEC,6.05 Lakh,"39,821 kms",Petrol,Automatic,1st Owner,2016,1199 cc,5 Seats
Maruti Alto 800 LXI,3.23 Lakh,"21,186 kms",Petrol,Manual,1st Owner,2018,796 cc,5 Seats
Renault KWID RXL,3.26 Lakh,"34,972 kms",Petrol,Manual,1st Owner,2018,799 cc,5 Seats
Honda Amaze S i-Vtech,4.21 Lakh,"46,623 kms",Petrol,Manual,2nd Owner,2015,1198 cc,5 Seats
Kia Seltos GTX Plus,15.53 Lakh,"18,557 kms",Petrol,Manual,1st Owner,2019,1353 cc,5 Seats
Jeep Compass 2.0 Limited,12.43 Lakh,"58,463 kms",Diesel,Manual,1st Owner,2017,1956 cc,5 Seats
MG Hector Plus Sharp DCT,18.50 Lakh,"5,000 kms",Petrol,Automatic,1st Owner,2020,1451 cc,6 Seats
Tata Harrier XZ BSIV,15.90 Lakh,"66,000 kms",Diesel,Manual,1st Owner,2019,1956 cc,5 Seats
Renault Duster Petrol RXS CVT,8.90 Lakh,"14,000 kms",Petrol,Automatic,1st Owner,2019,1498 cc,5 Seats
BMW 5 Series 520d Luxury Line,43 Lakh,"61,000 kms",Diesel,Automatic,1st Owner,2019,1995 cc,5 Seats
Hyundai i20 1.4 Magna Executive,6 Lakh,"65,392 kms",Diesel,Manual,1st Owner,2017,1396 cc,5 Seats
Mercedes-Benz CLA 200 CGI Sport,27 Lakh,"37,000 kms",Petrol,Automatic,1st Owner,2018,1991 cc,5 Seats
Maruti XL6 Zeta,10.90 Lakh,"9,000 kms",Petrol,Manual,1st Owner,2020,1462 cc,6 Seats
Hyundai Grand i10 1.2 Kappa Sportz Option AT,5.90 Lakh,"32,000 kms",Petrol,Automatic,1st Owner,2017,1197 cc,5 Seats
Mahindra XUV500 W8 2WD,6.50 Lakh,"68,000 kms",Diesel,Manual,1st Owner,2012,2179 cc,7 Seats
Hyundai i20 Magna 1.2,6.75 Lakh,"13,000 kms",Petrol,Manual,1st Owner,2017,1197 cc,5 Seats
